ID,Name,Address,AdmArea,District,geoData,Category,SubCategory
Спорт.Спортивные объекты Москвы.1074997745,Спортивный зал «Рублёво» (121982),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, улица Василия Ботылёва, дом 43",Западный административный округ,район Кунцево,"{'coordinates': [37.3539609714388, 55.790305168691], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997746,ГБУ «Московская баскетбольная академия» Москомспорта Структурное подразделение СШОР №49 «Тринта имени Ю. Я. Равинского» (108254),"город Москва, Загородное шоссе, дом 2А",Южный административный округ,Донской район,"{'coordinates': [37.6095710843031, 55.7002600877814], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997748,Физкультурно-оздоровительный комплекс «Сфера» (106306),"город Москва, Новочерёмушкинская улица, дом 34, корпус 2",Юго-Западный административный округ,Академический район,"{'coordinates': [37.5727759024611, 55.6774987292379], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997750,"Спортивный зал «на Новопесчаной, ГБУ «МосСпортОбъект»» (121132)","город Москва, Новопесчаная улица, дом 23, корпус 3",Северный административный округ,район Сокол,"{'coordinates': [37.5111507656127, 55.7936453052951], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997751,Спортивная школа «Метеор» (108236),"город Москва, Чечёрский проезд, дом 23",Юго-Западный административный округ,район Южное Бутово,"{'coordinates': [37.5296235647042, 55.5306937812188], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997752,Спортивный комплекс «Старт»(108050),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кутузовский проспект, дом 71",Западный административный округ,район Фили-Давыдково,"{'coordinates': [37.4523324704405, 55.7237904869684], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997753,Комплекс спортивных сооружений «Академия тенниса» (122099),"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 2",Западный административный округ,район Тропарёво-Никулино,"{'coordinates': [37.473813182922, 55.675993186787], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997756,КП Олимпийский учебно-спортивный центр Крылатское (121867),"город Москва, Крылатская улица, дом 2, строение 5",Западный административный округ,район Крылатское,"{'coordinates': [37.4434789335369, 55.7529472496997], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997757,"Комплекс спортивных сооружений «ГБУ «СШОР № 111» Москомспорта» (124460, город Зеленоград, Озёрная аллея, дом 10) (108781)","город Москва, город Зеленоград, Озёрная аллея, дом 10",Зеленоградский административный округ,район Савёлки,"{'coordinates': [37.2222129451843, 55.9875365235675], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997758,Физкультурно-оздоровительный комплекс с бассейном «Гармония» (108230),"город Москва, улица Саморы Машела, дом 6, корпус 4",Юго-Западный административный округ,Обручевский район,"{'coordinates': [37.4987470430328, 55.646760553458], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997759,Физкультурно-оздоровительный комплекс «ГБУ «СШОР «Трудовые резервы» Москомспорта» (122100),"город Москва, Нижняя Первомайская улица, дом 52, строение 10",Восточный административный округ,район Восточное Измайлово,"{'coordinates': [37.8127259550246, 55.7902966085389], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997760,Комплекс спортивных сооружений «ГБУ «СШОР «Трудовые резервы» Москомспорта» (106330),"город Москва, Нижняя Первомайская улица, дом 52",Восточный административный округ,район Восточное Измайлово,"{'coordinates': [37.8125098751389, 55.7904961712205], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997761,Физкультурно-оздоровительный комплекс «Дворец единоборств» (106150),"город Москва, город Зеленоград, корпус 1447",Зеленоградский административный округ,район Крюково,"{'coordinates': [37.1531106356079, 55.9846419443566], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997763,Физкультурно-оздоровительный комплекс «Олимп» (108229),"город Москва, улица Рокотова, дом 6",Юго-Западный административный округ,район Ясенево,"{'coordinates': [37.5495247700919, 55.6128428668752], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
Спорт.Спортивные объекты Москвы.1074997764,Крытое сооружение с искусственным льдом «Ледовый дворец Хрустальный» (108207),"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, Профсоюзная улица, дом 97, корпус 1",Юго-Западный административный округ,район Коньково,"{'coordinates': [37.524335393274, 55.6379504787725], 'type': 'Point'}",Спорт,Спортивные объекты Москвы
