AdmArea,geoData,Name,District,Address,ID,Category,SubCategory
Восточный административный округ,"{'coordinates': [37.760230288552, 55.8011118296295], 'type': 'Point'}",РГУФКСМиТ,район Измайлово,"город Москва, Сиреневый бульвар, дом 4",Образование.Вузы.639894817,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6331731323614, 55.7707953117105], 'type': 'Point'}",МГУУ,Красносельский район,"город Москва, улица Сретенка, дом 28",Образование.Вузы.639894819,Образование,Вузы
Северо-Восточный административный округ,"{'coordinates': [37.6500926276639, 55.8256226279138], 'type': 'Point'}",Академия МЧС,Алексеевский район,"город Москва, улица Бориса Галушкина, дом 4, строение 1",Образование.Вузы.639894820,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6277267675752, 55.7275930785563], 'type': 'Point'}",РЭУ им. Г.В. Плеханова,район Замоскворечье,"город Москва, Стремянный переулок, дом 36",Образование.Вузы.639894821,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.7258599590087, 55.7547810085357], 'type': 'Point'}",ИМПЭ им. Грибоедова,район Соколиная Гора,"город Москва, шоссе Энтузиастов, дом 21",Образование.Вузы.639894823,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6042670694066, 55.7562108394456], 'type': 'Point'}",Консерватория,Пресненский район,"город Москва, Большая Никитская улица, дом 13",Образование.Вузы.639894825,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6397921197792, 55.7262443426083], 'type': 'Point'}",Институт Дизайна,район Замоскворечье,"город Москва, Дубининская улица, дом 17, строение 2",Образование.Вузы.639894828,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5420221090149, 55.7761645955804], 'type': 'Point'}",ГИТР,Хорошёвский район,"город Москва, Хорошёвское шоссе, дом 32А",Образование.Вузы.639894831,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.603458167236, 55.7547400784177], 'type': 'Point'}",ГИТИС,Пресненский район,"город Москва, Малый Кисловский переулок, дом 6, строение 1",Образование.Вузы.639894832,Образование,Вузы
Западный административный округ,"{'coordinates': [37.4983846496221, 55.7503158859556], 'type': 'Point'}",ИСИ,район Филёвский Парк,"город Москва, Новозаводская улица, дом 27А",Образование.Вузы.639894834,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6027600866937, 55.726494509872], 'type': 'Point'}",МГЭУ,район Якиманка,"город Москва, Ленинский проспект, дом 8, строение 16",Образование.Вузы.639894835,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6660111446164, 55.7344208683928], 'type': 'Point'}",Ипполитовка,Таганский район,"город Москва, Марксистская улица, дом 36",Образование.Вузы.639894837,Образование,Вузы
Юго-Западный административный округ,"{'coordinates': [37.490108603249, 55.6493671803875], 'type': 'Point'}",РНИМУ им. Пирогова,Обручевский район,"город Москва, улица Островитянова, дом 1, строение 9",Образование.Вузы.639894838,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.6955008102008, 55.8126856117467], 'type': 'Point'}",МИУ,район Богородское,"город Москва, Краснобогатырская улица, дом 10",Образование.Вузы.639894839,Образование,Вузы
Центральный административный округ,"{'coordinates': [37.6628822532093, 55.770765478355], 'type': 'Point'}",ИМЦ,Красносельский район,"город Москва, 1-й Басманный переулок, дом 3, строение 1",Образование.Вузы.639894840,Образование,Вузы
Северный административный округ,"{'coordinates': [37.5077323157808, 55.8104076069183], 'type': 'Point'}",Синергия,район Сокол,"город Москва, Ленинградский проспект, дом 80, корпус 1",Образование.Вузы.639894841,Образование,Вузы
Восточный административный округ,"{'coordinates': [37.7115007900694, 55.7812179786569], 'type': 'Point'}",Политех,район Соколиная Гора,"город Москва, Большая Семёновская улица, дом 38",Образование.Вузы.639894842,Образование,Вузы
Южный административный округ,"{'coordinates': [37.6255343031114, 55.7025444025676], 'type': 'Point'}",МГАВТ,Донской район,"город Москва, Новоданиловская набережная, дом 2, корпус 1",Образование.Вузы.639894849,Образование,Вузы
